Code,Course Name,GE Field,Lecturer,Credit,Time & Venue,Quota,Apply
G0148,Car Culture (Group 1),Arts,Wang Yiju,2,Monday 9.00am-11.00am(A3#618)(Week 1-5) | Wednesday 2.00pm-4.00pm(A4#111)(Week 1-5) | Friday 10.00am-12.00pm(A5#G01)(Week 1-5),86,86
G0148,Car Culture (Group 2),Arts,Wang Yiju,2,Tuesday 3.00pm-5.00pm(A2#G09)(Week 1-5) | Wednesday 10.00am-12.00pm(A4#111)(Week 1-5) | Thursday 10.00am-12.00pm(A1#204)(Week 1-5),86,86
G0163,Chinese Epigraphy in Southeast Asia,Arts,Hue Guan Thye,2,Monday 5.00pm-7.00pm(A2#G07)(Week 1-5) | Tuesday 5.00pm-7.00pm(A1#213)(Week 1-5) | Wednesday 5.00pm-7.00pm(A3#508)(Week 1-5),86,86
G1129,Chinese for Management (Group 1),Arts,Ma Xiaofeng,2,Tuesday 1.00pm-3.00pm(A3#517)(Week 1-5) | Wednesday 9.00am-11.00am(A2#G04)(Week 1-5) | Thursday 9.00am-11.00am(A3#505)(Week 1-5),29,3
G1129,Chinese for Management (Group 2),Arts,Ma Xiaofeng,2,Tuesday 1.00pm-3.00pm(A3#517)(Week 1-5) | Wednesday 9.00am-11.00am(A2#G04)(Week 1-5) | Thursday 1.00pm-3.00pm(A3#505)(Week 1-5),29,4
G0179,Chinese Seal Carving: Appreciation and Practice (Group 1),Arts,Ooi Bee Peng,2,Monday 2.00pm-4.00pm(A3#502)(Week 1-5) | Tuesday 2.00pm-4.00pm(A3#503)(Week 1-5) | Thursday 10.00am-12.00pm(A5#108)(Week 1-5),19,19
G0179,Chinese Seal Carving: Appreciation and Practice (Group 2),Arts,Ooi Bee Peng,2,Monday 2.00pm-4.00pm(A3#502)(Week 1-5) | Tuesday 2.00pm-4.00pm(A3#503)(Week 1-5) | Thursday 1.00pm-3.00pm(A5#108)(Week 1-5),19,19
G0179,Chinese Seal Carving: Appreciation and Practice (Group 3),Arts,Ooi Bee Peng,2,Monday 2.00pm-4.00pm(A3#502)(Week 1-5) | Tuesday 2.00pm-4.00pm(A3#503)(Week 1-5) | Thursday 3.00pm-5.00pm(A5#108)(Week 1-5),19,19
G1133,Chinese–Malay Bidirectional Translation: Introduction and Practice (Group 1),Arts,Koay Su In,2,Monday 6.00pm-9.00pm(A1#G06)(Week 1-5) | Tuesday 9.00am-12.00pm(A4#G05)(Week 1-5),29,29
G1133,Chinese–Malay Bidirectional Translation: Introduction and Practice (Group 2),Arts,Koay Su In,2,Monday 6.00pm-9.00pm(A1#G06)(Week 1-5) | Thursday 2.00pm-5.00pm(A4#G10)(Week 1-5),29,29
G0156,Cinematic Communication,Arts,Tham Jia Hao,3,Monday 6.00pm-9.00pm(A5#G01)(Week 1-5) | Tuesday 6.00pm-9.00pm(A2#G09)(Week 1-5) | Thursday 6.00pm-9.00pm(A3#517)(Week 1-5),76,76
G0196,Communication and Law in Malaysia,Arts,Safrena Noreen Binti Abd Malek,2,Monday 9.00am-11.00am(A4#207)(Week 1-5) | Wednesday 2.00pm-4.00pm(A2#104)(Week 1-5) | Friday 10.00am-12.00pm(A2#111)(Week 1-5),67,31
G0131,Communication Skills for Job Search (Group 1),Arts,Zulaikha Binti Zubir,2,Wednesday 9.00am-12.00pm(A4#G10)(Week 1-5) | Thursday 10.00am-1.00pm(A4#207)(Week 1-5),43,43
G0131,Communication Skills for Job Search (Group 2),Arts,Zulaikha Binti Zubir,2,Wednesday 1.00pm-4.00pm(A4#G10)(Week 1-5) | Thursday 2.00pm-5.00pm(A4#207)(Week 1-5),43,42
G0102,Cross-Cultural Communication,Arts,Saravanan A/L Nallappan,3,Tuesday 2.00pm-5.00pm(A2#G06)(Week 1-5) | Wednesday 9.00am-12.00pm(A2#104)(Week 1-5) | Thursday 9.00am-12.00pm(A2#G06)(Week 1-5),67,67
G0192,Culturology of Chinese Characters (Group 1),Arts,Tan Huey Meei,2,Monday 12.00pm-2.00pm(A2#G01)(Week 1-5) | Tuesday 12.00pm-2.00pm(A1#G01)(Week 1-5) | Tuesday 3.00pm-5.00pm(A3#510)(Week 1-5),48,48
G0192,Culturology of Chinese Characters (Group 2),Arts,Tan Huey Meei,2,Monday 12.00pm-2.00pm(A2#G01)(Week 1-5) | Tuesday 12.00pm-2.00pm(A1#G01)(Week 1-5) | Wednesday 12.00pm-2.00pm(A3#513)(Week 1-5),48,47
G0194,Cyberpsychology,Arts,Ahadzadeh Ashrafsadat,2,Monday 3.00pm-5.00pm(A2#G06)(Week 1-5) | Tuesday 9.00am-11.00am(A4#G06)(Week 1-5) | Thursday 2.00pm-4.00pm(A2#G11)(Week 1-5),67,67
G1128,"Designing Nature: AI, Atoms, and the Art of Simulation",Arts,Chan Chen Hui,3,Monday 3.00pm-6.00pm(A1#109)(Week 4-5) | Monday 3.00pm-6.00pm(A4#G10)(Week 1-3) | Tuesday 9.00am-12.00pm(A1#109)(Week 4-5) | Tuesday 9.00am-12.00pm(A5#G02)(Week 1-3) | Thursday 2.00pm-5.00pm(A1#109)(Week 4) | Thursday 2.00pm-5.00pm(A1#103)(Week 1-3) | Thursday 2.00pm-5.00pm(A1#103)(Week 5),38,38
G0143,Digital Publishing,Arts,Yong Cheng Fei,3,Tuesday 2.00pm-5.00pm(A1#103)(Week 1-5) | Wednesday 9.00am-12.00pm(A1#103)(Week 1-5) | Thursday 9.00am-12.00pm(A5#G08)(Week 1-5),57,57
G0120,"Diversity, Gender and Society",Arts,Visalini A/P Palani,2,Monday 10.00am-1.00pm(A2#104)(Week 1-5) | Tuesday 10.00am-1.00pm(A2#103)(Week 1-5),57,57
G0111,Elementary Number Theory (Group 1),Arts,Lu Yufeng,3,Monday 10.00am-1.00pm(A4#105)(Week 1-5) | Wednesday 3.00pm-6.00pm(A4#G09)(Week 1-5) | Friday 9.00am-12.00pm(A4#G06)(Week 1-5),86,86
G0111,Elementary Number Theory (Group 2),Arts,Nge Kie Seng,3,Monday 10.00am-1.00pm(A4#G06)(Week 1-5) | Wednesday 3.00pm-6.00pm(A2#105)(Week 1-5) | Friday 9.00am-12.00pm(A4#105)(Week 1-5),86,86
G0111,Elementary Number Theory (Group 3),Arts,Piyaratne Hathurusinghege Dulip Bandara,3,Monday 10.00am-1.00pm(A2#111)(Week 1-5) | Wednesday 3.00pm-6.00pm(A4#102)(Week 1-5) | Friday 9.00am-12.00pm(A4#G09)(Week 1-5),86,86
